ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
88,ARCHIPIÉLAGO DE SAN ANDRÉS,88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS),2022,4,,268.82,,Miércoles,2022 Apr 06 08:45:00 PM,24.0
88,ARCHIPIÉLAGO DE SAN ANDRÉS,88001,SAN ANDRÉS,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS),2022,4,,,,Miércoles,2022 Apr 06 03:30:00 PM,24.0
13,BOLÍVAR,13001,CARTAGENA,13001037,ISLA MÚCURA (CARTAGENA - BOLÍVAR),2022,4,6.932,2.677,21.86,Sábado,2022 Apr 30 01:00:00 AM,14.83
13,BOLÍVAR,13001,CARTAGENA,13001037,SANTA CRUZ DEL ISLOTE (CARTAGENA - BOLÍVAR),2022,4,13.261,4.326,39.62,Lunes,2022 Apr 11 10:00:00 PM,14.3
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2022,4,14.24,4.925,39.82,Jueves,2022 Apr 21 07:00:00 PM,17.67
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUAYABAL (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2022,4,5.614,2.585,51.63,Lunes,2022 Apr 11 06:15:00 PM,6.1
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2022,4,15.973,7.841,86.55,Sábado,2022 Apr 30 07:00:00 PM,8.05
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001,SANTA FE DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2022,4,3.081,1.467,39.96,Sábado,2022 Apr 23 07:00:00 PM,3.4
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2022,4,11.309,6.104,102.21,Martes,2022 Apr 12 06:45:00 PM,4.6
19,CAUCA,19809,TIMBIQUÍ,19809003,CHACÓN (TIMBIQUÍ - CAUCA),2022,4,4.438,1.424,28.7,Sábado,2022 Apr 09 07:15:00 PM,6.85
19,CAUCA,19809,TIMBIQUÍ,19809003,COTEJE (TIMBIQUÍ - CAUCA),2022,4,6.659,4.901,32.52,Miércoles,2022 Apr 27 07:45:00 PM,8.38
19,CAUCA,19418,LÓPEZ (MICAY),19418038,ISLA DE GALLO (LÓPEZ (MICAY) - CAUCA),2022,4,2.704,1.333,23.17,Martes,2022 Apr 05 07:00:00 PM,4.98
19,CAUCA,19318,GUAPI,19318008,LIMONES (GUAPI - CAUCA),2022,4,8.641,3.982,38.19,Viernes,2022 Apr 29 06:45:00 PM,9.85
19,CAUCA,19809,TIMBIQUÍ,19809003,LOS BRAZOS (TIMBIQUÍ - CAUCA),2022,4,7.496,1.548,43.85,Domingo,2022 Apr 03 07:00:00 PM,6.85
19,CAUCA,19809,TIMBIQUÍ,19809003,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2022,4,24.3,12.112,167.38,Sábado,2022 Apr 02 07:00:00 PM,5.77
19,CAUCA,19418,LÓPEZ (MICAY),19418038,SAN ANTONIO DE CHUARÉ (LÓPEZ (MICAY) - CAUCA),2022,4,7.681,2.611,63.1,Viernes,2022 Apr 01 07:00:00 PM,5.28
19,CAUCA,19418,LÓPEZ (MICAY),19418038,SAN ISIDRO (LÓPEZ (MICAY) - CAUCA),2022,4,1.046,539.0,7.36,Viernes,2022 Apr 29 06:45:00 PM,6.33
19,CAUCA,19809,TIMBIQUÍ,19809003,SAN JOSÉ (TIMBIQUÍ - CAUCA),2022,4,8.189,6.136,36.94,Miércoles,2022 Apr 13 08:45:00 PM,9.23
19,CAUCA,19809,TIMBIQUÍ,19809003,SANTA MARÍA (TIMBIQUÍ - CAUCA),2022,4,12.243,5.103,75.07,Miércoles,2022 Apr 13 07:15:00 PM,7.08
19,CAUCA,19809,TIMBIQUÍ,19809003,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2022,4,4.221,2.369,24.41,Domingo,2022 Apr 03 07:15:00 PM,6.95
